whewell | It is my purpose to write the History of some of the most important of the Physical Sciences, from the earliest to the most recent periods. | Introduction
whewell | This fact is not likely to be known to any nation except those which have advanced far beyond that which may be considered as the earliest scientific process which we can trace in the history of the human race, the formation of a method of designating the successive numbers to an indefinite extent, by means of names, framed according to the decimal, quinary, or vigenary scale. | Preface to the Third Edition
whewell | They would not obtain any accuracy on this head, till they had attended for a considerable time to the motions and places of the sun; circumstances which require more precision of notice than the general facts of the degrees of heat and light. | Preface to the Third Edition
whewell | The turning back of the sun, when he had reached the greatest distance to the south or to the north, as shown either by his rising or by his height at noon, would perhaps be the most observable of such circumstances. | Preface to the Third Edition
whewell | The risings and settings of the stars under these circumstances, or under others which are easily recognized, were, in countries where the sky is usually clear, employed at an early period to mark the seasons of the year. | Preface to the Third Edition
whewell | Even without any artificial measure of time or position, it was not difficult to carry observations of this kind to such a degree of accuracy as to learn from them the number of days which compose the year; and to fix the precise season from the appearance of the stars. | Preface to the Third Edition
whewell | A knowledge concerning the stars appears to have been first cultivated with the last-mentioned view, and makes its first appearance in literature with this for its object. | Preface to the Third Edition
whewell | By such means it was determined that the year consisted, at least, nearly, of 365 days. | Preface to the Third Edition
whewell | A year thus settled as a period of a certain number of days is called a _Civil Year_. It is one of the earliest discoverable institutions of States possessing any germ of civilization; and one of the earliest portions of human systematic knowledge is the discovery of the length of the civil year, so that it should agree with the natural year, or year of the seasons. | Preface to the Third Edition
whewell | In reality, by such a mode of reckoning as we have described, the circle of the seasons would not come round exactly. The real length of the year is very nearly 365 days and a quarter. | Preface to the Third Edition
whewell | The civil year would be found not to coincide with the year of the seasons; the beginning of the former would take place at different periods of the latter; it would _wander_ into various seasons, instead of remaining fixed to the same season; the term _year_, and any number of years, would become ambiguous: some correction, at least some comparison, would be requisite. | Preface to the Third Edition
whewell | The method which we employ, and which consists in reckoning an additional day at the end of February every fourth or _leap_ year, is an example of the principle of _intercalation_, by which the correction was most commonly made. | Preface to the Third Edition
whewell | The Egyptians, on the other hand, knowingly permitted their civil year to _wander_, at least so far as their religious observances were concerned. | Preface to the Third Edition
whewell | The month is not any exact number of days, being more than 29, and less than 30. The latter number was first tried, for men more readily select numbers possessing some distinction of regularity. | Preface to the Third Edition
whewell | A little further trial would show that months of 29 and 30 days alternately, would preserve, for a considerable period, this agreement. | Preface to the Third Edition
whewell | With this persuasion, a correct system of intercalation became a religious duty. | Preface to the Third Edition
whewell | The above rule of alternate months of 29 and 30 days, supposes the length of the months 29 days and a half, which is not exactly the length of a lunar month. Accordingly the Months and the Moon were soon at variance. | Preface to the Third Edition
whewell | The correction of this inaccuracy, however, was not pursued separately, but was combined with another object, the securing a correspondence between the lunar and solar years, the main purpose of all early cycles. | Preface to the Third Edition
whewell | There are 12 complete lunations in a year; which according to the above rule (of 29½ days to a lunation) would make 354 days, leaving 12¼ days of difference between such a lunar year and a solar year. | Preface to the Third Edition
whewell | The first cycle which produced any near correspondence of the reckoning of the moon and the sun, was the _Octaëteris_, or period of 8 years. | Preface to the Third Edition
whewell | This cycle, however, was imperfect. The duration of 99 lunations is something more than 2922 days; it is more nearly 2923½; hence in 16 years there was a deficiency of 3 days, with regard to the motions of the moon. | Preface to the Third Edition
whewell | But a much more exact cycle, independent of these, was discovered and introduced by Meton, 432 years B. C. This cycle consisted of 19 years, and is so correct and convenient, that it is in use among ourselves to this day. | Preface to the Third Edition
whewell | The near coincidence of the solar and lunar periods in this cycle of 19 years, was undoubtedly a considerable discovery at the time when it was first accomplished. | Preface to the Third Edition
whewell | It is most probable that the length of the month was obtained with some exactness by the observation of eclipses, at considerable intervals of time from each other; for eclipses are very noticeable phenomena, and must have been very soon observed to occur only at new and full moon. | Preface to the Third Edition
whewell | The exact length of a certain number of months being thus known, the discovery of a cycle which should regulate the calendar with sufficient accuracy would be a business of arithmetical skill, and would depend, in part, on the existing knowledge of arithmetical methods; but in making the discovery, a natural arithmetical sagacity was probably more efficacious than method. | Preface to the Third Edition
whewell | It is very possible that the _Cycle of Meton_ is correct more nearly than its author was aware, and nearly than he could ascertain from any evidence and calculation known to him. | Preface to the Third Edition
whewell | Meton's Cycle was corrected a hundred years later (330 B. C.), by Calippus, who discovered the error of it by observing an eclipse of the moon six years before the death of Alexander. | Preface to the Third Edition
whewell | The Metonic and Calippic periods undoubtedly imply a very considerable degree of accuracy in the knowledge which the astronomers, to whom they are due, had of the length of the month; and the first is a very happy invention for bringing the solar and lunar calendars into agreement. | Preface to the Third Edition
whewell | Considered as a part of the progress of our astronomical knowledge, improvements in the calendar do not offer many points to our observation, but they exhibit a few very important steps. | Preface to the Third Edition
whewell | Calendars which, belonging apparently to unscientific ages and nations, possess a great degree of accordance with the true motions of the sun and moon (like the solar calendar of the Mexicans, and the lunar calendar of the Greeks), contain the only record now extant of discoveries which must have required a great deal of observation, of thought, and probably of time. | Preface to the Third Edition
whewell | But cycles of correction, which are both short and close to exactness, like that of Meton, may perhaps be the original form of the knowledge which they imply; and certainly require both accurate facts and sagacious arithmetical reasonings. | Preface to the Third Edition
whewell | The discovery of such a cycle must always have the appearance of a happy guess, like other discoveries of laws of nature. | Preface to the Third Edition
whewell | Beyond this point, the interest of the study of calendars, as bearing on our subject, ceases: they may be considered as belonging rather to Art than to Science; rather as an application of a part of our knowledge to the uses of life, than a means or an evidence of its extension. | Preface to the Third Edition
whewell | WE have now to consider more especially a long and barren period, which intervened between the scientific activity of ancient Greece and that of modern Europe; and which we may, therefore, call the Stationary Period of Science. | History of the Greek School Philosophy
whewell | Our object requires rather that we should point out the general and distinguishing features of the intellect and habits of those times. We must endeavor to delineate the character of the Stationary Period, and, as far as possible, to analyze its defects and errors; and thus obtain some knowledge of the causes of its barrenness and darkness. | History of the Greek School Philosophy
whewell | We have already stated, that real scientific progress requires distinct general Ideas, applied to many special and certain Facts. In the period of which we now have to speak, men's Ideas were obscured; their disposition to bring their general views into accordance with Facts was enfeebled. | History of the Greek School Philosophy
whewell | They were thus led to employ themselves unprofitably, among indistinct and unreal notions. | History of the Greek School Philosophy
whewell | These characteristics of the stationary period, its obscurity of thought, its servility, its intolerant disposition, and its enthusiastic temper, will be treated of in the four following chapters, on the Indistinctness of Ideas, the Commentatorial Spirit, the Dogmatism, and the Mysticism of the Middle Ages. | History of the Greek School Philosophy
whewell | THAT firm and entire possession of certain clear and distinct general ideas which is necessary to sound science, was the character of the minds of those among the ancients who created the several sciences which arose among them. | History of the Greek School Philosophy
whewell | With the progress of such distinct ideas, the inductive sciences rise and flourish; with the decay and loss of such distinct ideas, these sciences become stationary, languid, and retrograde. | History of the Greek School Philosophy
whewell | When men merely repeat the terms of science, without attaching to them any clear conceptions;--when their apprehensions become vague and dim;--when they assent to scientific doctrines as a matter of tradition, rather than of conviction, on trust rather than on sight;--when science is considered as a collection of opinions, rather than a record of laws by which the universe is really governed;--it must inevitably happen, that men will lose their hold on the knowledge which the great discoverers who preceded them have brought to light. | History of the Greek School Philosophy
whewell | Such indistinctness and vacillation of thought appear to have prevailed in the stationary period, and to be, in fact, intimately connected with its stationary character. | History of the Greek School Philosophy
whewell | The fact, that mere Collections of the opinions of physical philosophers came to hold a prominent place in literature, already indicated a tendency to an indistinct and wandering apprehension of such opinions. | History of the Greek School Philosophy
whewell | To present such statements as an important part of physical philosophy, shows an erroneous and loose apprehension of its nature. | History of the Greek School Philosophy
whewell | Such diversities of opinion convey no truth; such a multiplicity of statements of what has been *said*, in no degree teaches us what *is*; such accumulations of indistinct notions, however vast and varied, do not make up one distinct idea. | History of the Greek School Philosophy
whewell | On the contrary, the habit of dwelling upon the verbal expressions of the views of other persons, and of being content with such an apprehension of doctrines as a transient notice can give us, is fatal to firm and clear thought: it indicates wavering and feeble conceptions, which are inconsistent with speculation. | History of the Greek School Philosophy
whewell | All such writers are worthless for all purposes of *science*, and their labors may be considered as dead works; they have in them no principle of philosophical vitality; they draw their origin and nutriment from the death of true physical knowledge; and resemble the swarms of insects that are born from the perishing carcass of some noble animal. | History of the Greek School Philosophy
whewell | But the indistinctness of thought which is so fatal a feature in the intellect of the stationary period, may be traced more directly in the works, even of the best authors, of those times. | History of the Greek School Philosophy
whewell | His reasoning is, however, totally at variance with mechanical ideas on any view of the problem. | History of the Greek School Philosophy
whewell | Such an assumption implies an entire absence of those distinct ideas of force and mechanical pressure, on which our perception of the identity or difference of different modes of action must depend;--of those ideas by the help of which Archimedes had been able to demonstrate the properties of the lever, and Stevinus afterwards discovered the true solution of the problem of the inclined plane. | History of the Greek School Philosophy
whewell | Thus his views were vague; he had no clear conception of mechanical action, and he tried a geometrical conjecture. This is not the way to real knowledge. | History of the Greek School Philosophy
whewell | Men's minds were busy in endeavoring to systematize the distinctions and subtleties of the Aristotelian school, concerning Motion and Power; and, being thus employed among doctrines in which there was involved no definite meaning capable of real exemplification, they, of course, could not acquire sound physical knowledge. | History of the Greek School Philosophy
whewell | The physical doctrines which they extracted from Aristotle were, in the course of time, built up into a regular system; and though these doctrines could not be followed into a practical application without introducing distinctions and changes, such as deprived the terms of all steady signification, the dogmas continued to be repeated, till the world was persuaded that they were self-evident. | History of the Greek School Philosophy
whewell | So long as these assertions were left uncontested and untried, men heard and repeated them, without perceiving the incongruities which they involved: and thus they long evaded refutation, amid the vague notions and undoubting habits of the stationary period. | History of the Greek School Philosophy
whewell | But when the controversies of Galileo's time had made men think with more acuteness and steadiness, it was discovered that many of these doctrines were inconsistent with themselves, as well as with experiment. | History of the Greek School Philosophy
whewell | They did not perceive that, if they considered the weight of the body as a power acting to produce motion, they must consider the body itself as offering a resistance to motion; and that the effect must depend on the proportion of the power to the resistance; in short, they had no clear idea of *accelerating force*. | History of the Greek School Philosophy
whewell | This defect runs through all their mechanical speculations, and renders them entirely valueless. | History of the Greek School Philosophy
whewell | Thus, if men had any distinct idea of mechanical action, they could not have accepted for a moment the fable of the Echineis or Remora, a little fish which was said to be able to stop a large ship merely by sticking to it. | History of the Greek School Philosophy
whewell | A very little advance in the power of thinking clearly on the force which it exerted in pulling, would have enabled the Romans to see that the ship and its rowers must pull the adhering fish by the hold the oars had upon the water. | History of the Greek School Philosophy
whewell | Perhaps it may serve to illustrate still further the extent to which, under the Roman empire, men's notions of mechanical relations became faint, wavered, and disappeared, if we observe the change which took place in architecture. | History of the Greek School Philosophy
whewell | All architecture, to possess genuine beauty, must be mechanically consistent. The decorative members must represent a structure which has in it a principle of support and stability. | History of the Greek School Philosophy
whewell | But to be content with colonnades and pediments, which, though they imitated the forms of the Grecian ones, were destitute of their mechanical truth, belonged to the decline of art; and showed that men had lost the idea of force, and retained only that of shape. | History of the Greek School Philosophy
whewell | The splendid remains of Palmyra, Balbec, Petra, exhibit endless examples of this kind of perverse inventiveness; and show us, very instructively, how the decay of art and of science alike accompany this indistinctness of ideas which we are now endeavoring to illustrate. | History of the Greek School Philosophy
whewell | If they had perceived distinctly that the astronomical theorist had merely to do with *relative* motions, they must have been led to see the possibility, at least, of the Copernican system; as the Greeks, at an earlier period, had already perceived it. We find no trace of this. | History of the Greek School Philosophy
whewell | The Arabs are in the habit of giving conclusions without demonstrations, precepts without the investigations by which they are obtained; as if their main object were practical rather than speculative,--the calculation of results rather than the exposition of theory. | History of the Greek School Philosophy
whewell | The same unsteadiness of ideas which prevents men from obtaining clear views, and steady and just convictions, on special subjects, may lead them to despair of or deny the possibility of acquiring certainty at all, and may thus make them skeptics with regard to all knowledge. | History of the Greek School Philosophy
whewell | Such skeptics are themselves men of indistinct views, for they could not otherwise avoid assenting to the demonstrated truths of science; and, so far as they may be taken as specimens of their contemporaries, they prove that indistinct ideas prevail in the age in which they appear. | History of the Greek School Philosophy
whewell | In the stationary period, moreover, the indefinite speculations and unprofitable subtleties of the schools might further impel a man of bold and acute mind to this universal skepticism, because they offered nothing which could fix or satisfy him. | History of the Greek School Philosophy
whewell | The skepticism which denies the evidence of the truths of which the best established physical sciences consist, must necessarily involve a very indistinct apprehension of those truths; for such truths, properly exhibited, contain their own evidence, and are the best antidote to this skepticism. | History of the Greek School Philosophy
whewell | But an incredulity or contempt towards the asserted truths of physical science may arise also from the attention being mainly directed to the certainty and importance of religious truths. | History of the Greek School Philosophy
whewell | If the Arabians, who, during the ages of which we are speaking, were the most eminent cultivators of science, entertained only such comparatively feeble and servile notions of its doctrines, it will easily be supposed, that in the Christendom of that period, where physical knowledge was comparatively neglected, there was still less distinctness and vividness in the prevalent ideas on such subjects. | History of the Greek School Philosophy
whewell | When the thoughts were thus intentionally averted from those ideas which natural philosophy involves, the ideas inevitably became very indistinct in their minds; and they could not conceive that any other persons could find, on such subjects, grounds of clear conviction and certainty. | History of the Greek School Philosophy
whewell | It is impossible to express more forcibly that absence of any definite notions on physical subjects which led to this tone of thought. | History of the Greek School Philosophy
whewell | With such habits of thought, we are not to be surprised if the relations resulting from the best established theories were apprehended in an imperfect and incongruous manner. | History of the Greek School Philosophy
whewell | One of the most important talents requisite for a discoverer, is the ingenuity and skill which devises means for rapidly testing false suppositions as they offer themselves. | Physical Sciences in Ancient Greece
whewell | he never allowed the labor he had spent upon any conjecture to produce any reluctance in abandoning the hypothesis, as soon as he had evidence of its inaccuracy. | Physical Sciences in Ancient Greece
whewell | The mystical parts of Kepler's opinions, as his belief in astrology, his persuasion that the earth was an animal, and many of the loose moral and spiritual as well as sensible analyses by which he represented to himself the powers which he supposed to prevail in the universe, do not appear to have interfered with his discovery, but rather to have stimulated his invention, and animated his exertions. | Physical Sciences in Ancient Greece
whewell | where there are clear scientific ideas on one subject in the mind, it does not appear that mysticism on others is at all unfavorable to the successful prosecution of research. | Physical Sciences in Ancient Greece
whewell | Kepler's talents were a kindly and fertile soil, which he cultivated with abundant toil and vigor; but with great scantiness of agricultural skill and implements. | Physical Sciences in Ancient Greece
whewell | Weeds and the grain throve and flourished side by side almost undistinguished; and he gave a peculiar appearance to his harvest, by gathering and preserving the one class of plants with as much care and diligence as the other. | Physical Sciences in Ancient Greece
whewell | The rule thus referred to is stated in the third Chapter of this fifth Book. 'It is,' he says, 'a most certain and exact thing that the proportion which exists between the periodic times of any two planets is precisely the sesquiplicate of the proportion of their mean distances; that is, of the radii of the orbits.' | Physical Sciences in Ancient Greece
whewell | This ex-post-facto obviousness of discoveries is a delusion to which we are liable with regard to many of the most important principles. | Physical Sciences in Ancient Greece
whewell | In the case of Kepler, we may observe, that the process of connecting two classes of quantities by comparing their powers, is obvious only to those who are familiar with general algebraical views; and that in Kepler's time, algebra had not taken the place of geometry, as the most usual vehicle of mathematical reasoning. | Physical Sciences in Ancient Greece
whewell | Kepler always sought his formal laws by means of physical reasonings; and these, though vague or erroneous, determined the nature of the mathematical connection which he assumed. | Physical Sciences in Ancient Greece
whewell | In all these harmonic ratios there is not one true relation; in a crowd of ideas there is not one truth: he becomes a man after being a spirit of light. | Physical Sciences in Ancient Greece
whewell | The numerical relations of Concords are so peculiar that we can easily suppose them to have other bearings than those which first offer themselves. | Physical Sciences in Ancient Greece
whewell | Astronomy was now ripe for such a change. As soon as Copernicus had taught men that the orbits of the planets were to be referred to the sun, it obviously became a question, what was the true form of these orbits, and the rule of motion of each planet in its own orbit. | Physical Sciences in Ancient Greece
whewell | We find, indeed, that this is the spirit in which the pursuit of knowledge is generally carried on with success; those men arrive at truth who eagerly endeavor to connect remote points of their knowledge, not those who stop cautiously at each point till something compels them to go beyond it. | Physical Sciences in Ancient Greece
whewell | Copernicus, not knowing the value of what he possessed (his system), undertook to represent Ptolemy, rather than nature, to which, however, he had approached more nearly than any other person. | Physical Sciences in Ancient Greece
whewell | My first error was, that the path of a planet is a perfect circle;--an opinion which was a more mischievous thief of my time, in proportion as it was supported by the authority of all philosophers, and apparently agreeable to metaphysics. | Physical Sciences in Ancient Greece
whewell | The supposition of the oval had already been forced upon Purbach in the case of Mercury, and upon Reinhold in the case of the Moon. | Physical Sciences in Ancient Greece
whewell | By the physical hypothesis, he meant the doctrine that the time of a planet's describing any part of its orbit is proportional to the distance of the planet from the sun, for which supposition, as we have said, he conceived that he had assigned physical reasons. | Physical Sciences in Ancient Greece
whewell | What an absurdity on my part! as if libration in the diameter might not be a way to the ellipse! | Physical Sciences in Ancient Greece
whewell | His numerous and fanciful hypotheses had discharged their office, when they had suggested to him his many lines of laborious calculation, and encouraged him under the exertions and disappointments to which these led. | Physical Sciences in Ancient Greece
whewell | The result of this work was the formal laws of the motion of Mars, established by a clear induction, since they represented, with sufficient accuracy, the best observations. | Physical Sciences in Ancient Greece
whewell | The real verification of the new doctrine concerning the orbits and motions of the heavenly bodies was, of course, to be found in the construction of tables of those motions, and in the continued comparison of such tables with observation. | Physical Sciences in Ancient Greece
whewell | Horrox, far more philosophically, argues against this opinion, though he allows that he is much embarrassed by the deviations. | Physical Sciences in Ancient Greece
whewell | these errors of the tables are alternately in excess and defect; how could this constant compensation happen if they were casual? | Physical Sciences in Ancient Greece
whewell | But if we suppose the tables to be right in the mean motions, but wrong in the equations, these facts are just what must happen; since Saturn's inequalities are of long period, while those of the Moon are numerous, and rapidly changing. | Physical Sciences in Ancient Greece
whewell | the doctrine, that all the apparent irregularities of the celestial motions are really regular, was one of great consequence to establish at this period of the science. | Physical Sciences in Ancient Greece
whewell | Since the Divine Goodness has given us in Tycho an observer so exact that this error of eight minutes is impossible, we must be thankful to God for this, and turn it to account. And these eight minutes, which we must not neglect, will, of themselves, enable us to reconstruct the whole of astronomy. | Physical Sciences in Ancient Greece
whewell | The discovery of Kepler's Laws, accompanied, as from the first they were, with a conviction that the relations thus brought to light were the effects and exponents of physical causes, led rapidly and irresistibly to the Mechanical Science of the skies. | Physical Sciences in Ancient Greece
whewell | The Newtonians repelled the charge of dealing in occult causes; and, referring gravity to the will of the Deity, as the First Cause, assumed a superiority over those whose philosophy rested in second causes. | Greek Astronomy
whewell | Flamsteed at first listened with complacency to the promises of improvements in the Lunar Tables, which the new doctrines held forth, and was willing to assist Newton, and to receive assistance from him. | Greek Astronomy
whewell | He then declared to one of his correspondents, 'I have determined to lay these crotchets of Sir Isaac Newton's wholly aside.' | Greek Astronomy
whewell | Flamsteed, though a good observer, was no philosopher;--never understood by a Theory any thing more than a Formula which should predict results;--and was incapable of comprehending the object of Newton's theory, which was to assign causes as well as rules, and to satisfy the conditions of Mechanics as well as of Geometry. | Greek Astronomy
whewell | The reception of the Newtonian theory on the Continent, was much more tardy and unwilling than in its native island. | Greek Astronomy
whewell | In France, the Cartesian system had obtained a wide and popular reception, having been recommended by Fontenelle with the graces of his style; and its empire was so firm and well established in that country, that it resisted for a long time the pressure of Newtonian arguments. | Greek Astronomy
whewell | Indeed, the Newtonian opinions had scarcely any disciples in France, till Voltaire asserted their claims, on his return from England in 1728: until then, as he himself says, there were not twenty Newtonians out of England. | Greek Astronomy
whewell | The hold which the Philosophy of Descartes had upon the minds of his countrymen is, perhaps, not surprising. He really had the merit, a great one in the history of science, of having completely overturned the Aristotelian system, and introduced the philosophy of matter and motion. | Greek Astronomy
whewell | His hypothesis of vortices, as an explanation of the celestial motions, had an apparent advantage over the Newtonian doctrine, in this respect;--that it referred effects to the most intelligible, or at least most familiar kinds of mechanical causation, namely, pressure and impulse. | Greek Astronomy
whewell | Thus the Newtonian system was not adopted in France till the Cartesian generation had died off; Fontenelle, who was secretary to the Academy of Sciences, and who lived till 1756, died a Cartesian. | Greek Astronomy
whewell | Voltaire, who visited England in 1727, notices this difference in his lively manner. 'A Frenchman who arrives in London, finds a great alteration in philosophy, as in other things. He left the world full, he finds it empty.' | Greek Astronomy
whewell | It was Voltaire himself as we have said, who was mainly instrumental in giving the Newtonian doctrines currency in France. | Greek Astronomy
whewell | But Newton was not unknown or despised in France till this time. In 1699 he was admitted one of the very small number of foreign associates of the French Academy of Sciences. | Greek Astronomy
whewell | Even Fontenelle, who, as we have said, never adopted his opinions, spoke of him in a worthy manner, in the Eloge which he composed on the occasion of his death. | Greek Astronomy
whewell | The verification of the Law of Universal Gravitation as the governing principle of all cosmical phenomena, led, as we have already stated, to a number of different lines of research, all long and difficult. | Greek Astronomy
whewell | A perfect Lunar Theory, if the theory could be perfected, promised to supply a method of finding the Longitude of any place on the earth's surface; and thus the verification of a theory which professed to be complete in its foundations, was identified with an object of immediate practical use to navigators and geographers, and of vast acknowledged value. | Greek Astronomy
whewell | Newton had discovered the ground of this want of agreement. He had shown that the same force which produces the Evection, Variation, and Annual Equation, must produce also a long series of other Inequalities, of various magnitudes and cycles, which perpetually drag the moon before or behind the place where she would be sought by an astronomer who knew only of those principal and notorious inequalities. | Greek Astronomy
whewell | Halley's Tables of the Moon were printed in 1719 or 1720, but not published till after his death in 1749. They had been founded on Flamsteed's observations and his own. | Greek Astronomy
whewell | But Halley had long proposed a method, different from that of Newton, but marked by great ingenuity, for amending the Lunar Tables. He proposed to do this by the use of a cycle, which we have mentioned as one of the earliest discoveries in astronomy;--the Period of 223 lunations, or eighteen years and eleven days, the Chaldean Saros. | Greek Astronomy
whewell | The first great apparent deficiency in the agreement of the law of universal gravitation with astronomical observation, was removed by Clairaut's improved approximation to the theoretical Motion of the Moon's Apogee, in 1750; yet not till it had caused so much disquietude, that Clairaut himself had suggested a modification of the law of attraction. | Greek Astronomy
whewell | Finally, Tobias Mayer, an astronomer of Göttingen, having compared Euler's tables with observations, corrected them so successfully, that in 1753 he published Tables of the Moon, which really did possess the accuracy which Halley only flattered himself that he had attained. | Greek Astronomy
whewell | This public national acknowledgment of the practical accuracy of these Tables is, it will be observed, also a solemn recognition of the truth of the Newtonian theory, as far as truth can be judged of by men acting under the highest official responsibility, and aided by the most complete command of the resources of the skill and talents of others. | Greek Astronomy
whewell | The finding the Longitude is thus the seal of the moon's gravitation to the sun and earth; and with this occurrence, therefore, our main concern with the history of the Lunar Theory ends. | Greek Astronomy
whewell | The motions of the nodes and apsides of the satellites are a necessary part of the Newtonian theory; and even the Cartesian astronomers now required only data, in order to introduce these changes into their Tables. | Greek Astronomy
whewell | The form in which the question of the truth of the doctrine of universal gravitation now offers itself to the minds of astronomers, is this:--that it is taken for granted that it will account for the motions of the heavenly bodies, and the question is, with what supposed masses it will give the best account. | Greek Astronomy
whewell | The continually increasing accuracy of the table shows the truth of the fundamental assumption. | Greek Astronomy
whewell | Thus the satellites of Jupiter are not only disturbed by the sun, as the moon is, but also by each other, as the planets are. This mutual action gives rise to some very curious relations among their motions; which, like most of the other leading inequalities, were forced upon the notice of astronomers by observation before they were obtained by mathematical calculation. | Greek Astronomy
